i,j,shared_len
65,134,42.44997055358225
65,1582,0
65,1571,0
65,293,0
66,1247,0
66,1404,114.56694607562284
67,1274,10.18020029880893
67,881,5.783569853262913
67,1262,6.838375468602196
67,1605,14.247029651749745
67,873,14.714375662203397
67,882,6.842272304490433
68,565,4.538924740071382
68,678,18.101955542328078
68,1256,26.396209715759767
69,313,66.87055256229156
69,136,0
70,254,0
70,1202,72.44308110509934
70,994,0
71,1393,0
71,125,0.5309406269068304
71,12,3.3034010209144378
71,1042,11.94821699344461
71,726,64.81072466419359
71,1096,10.462643079956049
71,448,15.097528137086176
71,628,179.67226685845537
71,562,20.634508107939165
71,1597,78.7543400472984
71,147,3.3684394877974757
71,1423,0
71,219,7.114957382257041
72,246,16.7125069738208
72,232,13.6087133397637
72,1008,29.838057753468163
72,1195,37.80100856419294
72,1181,24.670733592737808
72,817,4.683600184208511
72,1475,24.405540405421704
72,770,25.70585376767209
72,764,24.563604115121613
72,590,5.0930407119716845
72,714,24.759768834487303
72,1295,28.30107096210327
72,594,0
72,670,2.2412735070370466
73,1437,0
73,1614,72.01653216764132
73,489,36.15327443545264
73,35,0
73,785,69.91313265967521
73,795,2.90593557410574
73,1470,31.37384782500916
73,154,0
73,923,0
74,115,10.152529851551146
74,1446,0.003143880935904957
75,1345,0
75,262,91.06319279589059
76,1578,0
76,651,0
76,1544,8.278131108905075
77,1635,30.127694678697818
77,1294,0
77,1049,0
77,1148,1.8579079776745289
77,1222,14.40880429365876
77,1097,14.527896094863568
78,989,45.880278987817846
78,1329,0
79,130,163.95533396961247
80,720,28.373020870060017
80,1343,5.243798370856886
81,1534,0
81,1538,13.895574573119964
81,1596,0
82,1426,0.001021178882265367
82,238,5.320769866026907
82,1019,12.203659104939632
82,1090,11.637498206843006
82,418,24.11726231823466
82,478,18.959200841654102
82,1291,0
82,479,21.231182911793088
82,1386,0
83,5,81.95743616499875
83,1061,0
84,49,44.92215489043241
84,1154,0
85,846,0
85,745,22.4745336826729
85,1501,2.5580770045160888
85,504,17.072880007945212
85,863,172.87598554450653
85,1360,57.90104136218478
85,1102,33.49251013744397
85,940,5.3705971076173125
85,1482,71.57048799783838
86,967,60.4400529450463
86,1382,0
87,409,24.75579620574109
87,493,6.158992428890603
87,1290,0.003699064682102424
87,408,14.826355182887738
87,453,12.56275761895369
87,410,54.68312334597369
88,630,123.42652284727399
88,1258,137.70687131559495
88,1112,0
89,718,38.905713763704384
89,1275,11.341284359923998
89,1050,0
90,354,15.61864291742116
90,916,26.657823756887794
90,177,19.82654761415394
90,1409,13.327265285914015
90,1209,0
91,1333,0
91,492,19.278571202663763
91,390,26.085785487890764
91,266,0.007248064998905124
92,1204,17.420982324325472
92,862,14.42021591356993
93,1522,0
93,1527,14.560219778561036
93,1567,0
94,46,0
94,151,3.251277008906105
94,1312,52.23889659819316
94,1128,69.28634469625139
94,1330,0.004003052682860742
95,1528,11.045361017187261
95,1637,0
96,245,0
96,1027,35.36416265089734
96,1344,14.214921737397901
97,351,22.460762348349785
97,466,31.403369307844926
98,123,1.7134633904646583
98,1511,12.025321329632035
98,8,6.762216004127965
98,9,0
98,1500,10.716176777684513
98,1075,52.8748314183243
98,1429,0
99,1031,101.08326402051077
99,306,5.216101941344926
99,1032,0
100,848,0
100,1650,47.56098118212978
100,1028,0
101,431,17.646412474526166
101,429,11.237332200690998
101,1466,0
101,430,12.295039650183586
102,1049,108.17974361672282
102,1055,0.2085111929183626
102,1419,5.0390204956783125
102,1635,0
103,308,5.182020255661749
103,1132,0
103,1416,14.922645643675231
103,117,31.063382444234456
104,121,32.802438933713454
105,710,2.9176400556050752
105,879,17.896707946486945
105,1235,58.66549429302296
105,1193,34.52535300326414
106,1049,0.2297158946766012
106,1055,85.98124566536221
106,1419,0.0027676614318629727
106,55,92.47713249325562
106,95,0
106,277,10.8245092267831
107,905,33.89071256866001
107,566,29.22684501043489
107,1078,63.531571704412215
107,893,0
108,239,19.38324889074816
108,1163,0
109,328,65.764732611507
109,613,5.9064593316074685
109,722,1.052276099770875
109,796,5.634994486655745
110,1105,29.068883707497267
110,257,14.239801420352403
110,307,6.087328035139574
110,76,0
110,1187,6.0537701663545
110,81,5.910522553540159
110,71,6.135473555919961
111,700,28.171495535941578
111,696,12.653050388317169
111,1326,0
112,975,5.969715767381935
112,974,5.154414823530357
112,244,4.547205309716463
112,317,7.539010744586805
112,1333,15.77714168290759
112,492,0
113,722,44.35867987730978
113,341,0
114,1389,25.712596937716548
114,1289,26.197567878553308
114,1216,79.26051285492863
114,1319,0
114,1217,0
115,1046,63.90695893573353
115,1413,5.604193507677148
115,31,0
116,1122,0
116,47,9.899494936611665
116,293,0
117,611,15.143925270539604
117,592,14.945082679769165
117,553,13.919372568826212
117,996,13.660632051935838
118,1626,0
118,1320,20.00048106955192
118,1180,24.962552025694304
118,1267,0
118,1142,4.962070956142382
119,1063,0
119,1066,45.35416188179427
119,323,0
120,76,32.87949217153375
120,1105,0
121,1543,11.598245651814679
121,182,0
122,1270,0
122,1136,32.285881976293716
122,1616,20.23113425302299
122,554,2.6867985118670257
122,1020,45.50783434990606
122,522,0
123,1644,96.53814879371566
123,1624,54.378401717843154
123,1626,34.139386401854225
123,1510,43.1638587753915
123,1320,0
124,1030,50
125,1130,12.269776137489153
125,1172,0
125,225,6.819497634797763
125,116,6.8201177637580415
125,446,17.54844047234704
125,386,40.11548672683802
125,936,115.23327379648575
125,234,0.005210130219546922
126,1101,0
126,1634,147.86868409998743
126,1230,0
127,930,7.580324732126073
127,424,13.011788064651086
127,634,0
127,1591,50.83977205793481
128,1309,16.1951431180348
128,352,23.016046366097143
128,1348,0
128,1093,15.240624331282351
129,124,0.0010446452130129784
129,1098,22.54738346324518
129,544,19.696259720175174
129,649,13.330683778508174
129,536,28.37458503952954
129,1445,25.608172724999896
129,182,0
130,773,12.422360400666381
130,747,39.59647262194585
130,520,10.243107130361015
130,746,26.63082991046184
130,1474,8.930280045750305
130,1471,29.18090814918553
130,1365,0
131,939,0
131,1431,60.43960606284956
131,1311,34.89664318291564
131,249,5.811120567295425
131,56,12.143702013056465
131,1327,0
132,291,53.41348144429457
132,641,0
133,1059,39.58431932308513
133,1318,44.35018027900003
133,1039,0
133,203,0
134,234,8.802733025792504
134,901,0
135,1381,33.99318823797898
135,1226,3.369913196652517
135,1076,0
136,699,50.16019799966247
136,417,40.27504909256697
136,833,2.30379468863096
136,150,6.951271149126248
136,1189,0
136,305,6.468871687270925
136,1279,0
136,274,10.83024240937813
137,247,0
137,1407,0
137,1459,47.80167361086848
138,992,14.035668847618199
138,58,0
139,166,0
139,82,51.38100144323987
139,1064,0
140,1376,46.70953430756171
140,149,0
141,1359,37.379263695855386
142,1375,83.93449827097318
142,910,0
142,38,0
143,7,25.709920264364882
143,661,0
143,955,0
144,1486,57.290226400848226
144,1196,61.19010289846703
144,1483,4.993660419183949
144,1397,0
145,583,5.060019998269623
145,607,5.344136959811525
146,2,83.85587726175373
146,30,4.440477321347361
146,4,0
